seriesuid,probability,coordZ,coordY,coordX,d,h,w,is_fp,is_infundibulum,is_aneurysm,comments,additional_comments,new_d,new_h,new_w,new_z,new_x,new_y
1.2.826.0.1.3680043.8.498.10035643165968342618460849823699311381.nii.gz,0.8622044,218.01881,259.2401,288.8543,42.754383,18.857029,20.60421,1.0,,,Great vein of Galen,6:16 PM,,,,218.0,288.0,259.0
1.2.826.0.1.3680043.8.498.10042474696169267476037627878420766468.nii.gz,0.8000812,204.12222,208.84767,269.30173,23.275568,20.388285,19.675385,1.0,,,Great vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.10157259652665015386051954194840128811.nii.gz,0.8127794,134.76898,224.3542,228.4583,10.950899,14.4444685,14.96471,1.0,,,Tentorial venous sinus,,,,,,,
1.2.826.0.1.3680043.8.498.10170698207397181808858428764907250482.nii.gz,0.9849434,175.69432,443.30713,383.87555,11.750504,12.640144,11.016652,,,1.0,Better bounding box compared to the ground truth aneurysm,175 442 384 <- RECENTER GT: done,11.750504,12.640144,11.0,175.0,385.0,443.0
1.2.826.0.1.3680043.8.498.10172626607552095496094268567506878754.nii.gz,0.8174709,58.90746,284.10327,382.29184,29.689802,33.269463,33.212944,1.0,,,Exracranial,,,,,,,
1.2.826.0.1.3680043.8.498.10195070873338721244150818495996796822.nii.gz,0.88701546,319.5398,170.35101,404.7551,16.381163,14.508894,14.89288,1.0,,,"Extracranial vein in the skull, might be an aneurysm or varyx in the scalp",,,,,,,
1.2.826.0.1.3680043.8.498.10195070873338721244150818495996796822.nii.gz,0.8063678,228.2943,240.0154,276.03775,28.300545,18.173231,18.988264,1.0,,,Great vei nof Galen,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.9045377,404.6971,392.349,649.6548,37.706226,45.34636,43.834213,,,,Wrist,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.8817371,420.31705,472.89883,651.7658,5.2070847,15.906482,14.498288,,,,Wrist,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.85242623,399.80496,392.38824,16.103645,37.395817,45.835297,32.722797,,,,Wrist,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.84973264,132.82288,394.49402,622.37506,46.805565,44.21841,35.932354,,,,Wrist,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.83108443,104.55681,395.46127,295.78595,55.211082,42.263,46.081993,1.0,,,Bones of the skull base,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.812466,93.77527,356.15607,591.17267,39.7031,43.554024,32.334244,,,,Wrist bones,,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.8060842,214.02553,296.99927,249.48141,15.985124,13.109912,12.596549,1.0,,,"Within the lateral ventrical, highly vascular-venous, choroid plexus",,,,,,,
1.2.826.0.1.3680043.8.498.10242740813399049394757933972926370746.nii.gz,0.8023667,225.53201,338.89163,312.76416,9.123151,10.934643,8.530462,1.0,,,"Close to the vein of Galen, calcification in the pineal gland.",,,,,,,
1.2.826.0.1.3680043.8.498.10273673348071492912735641743807147880.nii.gz,0.8334755,99.71498,280.3877,302.02914,4.0977197,4.93301,5.867644,1.0,,,Portion of the left cavernous ICA,"GT close to it may be wrong, too large? Review with Geoff!  120 289 237 big saccular aneu: done",,,,,,
1.2.826.0.1.3680043.8.498.10342709283985724898618249297250963636.nii.gz,0.9003841,193.63208,119.7052,325.0957,7.4775786,10.430238,9.474701,1.0,,,Tentorial venous sinus,,,,,,,
1.2.826.0.1.3680043.8.498.10342709283985724898618249297250963636.nii.gz,0.8968305,203.52539,329.7009,175.77539,9.091438,9.283109,9.655818,1.0,,,"Another vein, looping,  in the left sylvian /?) fissure. We could review.","NOTE: these CTAs could be acquired with a later phase, somehow the model is not understanding that these are venous structures",,,,,,
1.2.826.0.1.3680043.8.498.10342709283985724898618249297250963636.nii.gz,0.8786447,109.311806,156.00163,293.61835,6.8319473,6.722356,6.627699,1.0,,,Probably a vein in the posterior facet,,,,,,,
1.2.826.0.1.3680043.8.498.10355999422630119489122900651916543784.nii.gz,0.9057718,100.78677,234.98492,261.6103,11.631422,10.71172,12.713359,,,1.0,"An aneurysm in the basilar tip, left projecting.",,,,,,,
1.2.826.0.1.3680043.8.498.10355999422630119489122900651916543784.nii.gz,0.87703305,173.76404,185.24197,180.63191,28.350428,25.389746,28.923986,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.10355999422630119489122900651916543784.nii.gz,0.82835054,180.28247,169.75082,306.23895,18.563456,16.8294,16.417374,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.10355999422630119489122900651916543784.nii.gz,0.8279558,206.96518,204.665,240.65758,35.48401,31.236404,30.817911,1.0,,,"Vein of Galen and adjacent areas look abnormal and enlarged, could be either an vein of galen malformation or an arterial venous malformation (AVM)",,,,,,,
1.2.826.0.1.3680043.8.498.10355999422630119489122900651916543784.nii.gz,0.8233608,14.720239,189.644,338.27576,28.700932,26.830091,23.989653,1.0,,,"Yugular vein, extracranial",,,,,,,
1.2.826.0.1.3680043.8.498.10392269849471954571399326989696230894.nii.gz,0.8384675,85.40095,335.25592,265.33267,4.8451843,8.072507,7.179748,,,1.0,Tiny aneurysm in the  cavernous portion of the left ICA,,,,,,,
1.2.826.0.1.3680043.8.498.10398119555851443876517634822321882988.nii.gz,0.89078057,111.1615,398.05338,301.5243,27.577124,31.316137,30.650898,,,1.0,"There is dilatation in the vessel, much bigger than the downstream and upstream parts of the vessel. Fusiform dilatation of the left cavernous ICA.",,,,,,,
1.2.826.0.1.3680043.8.498.10398119555851443876517634822321882988.nii.gz,0.81146383,114.0,369.0,302.0,6.0,6.0,6.0,,,1.0,"Left ICA, portion of the cavernous carotid ICA. Either a tiny aneurysm or a calcification.",114  369 302: done,,,,,,
1.2.826.0.1.3680043.8.498.10460650254877169551212749749635286489.nii.gz,0.9346244,12.629765,170.02184,118.976295,9.466601,15.639006,14.414808,1.0,,,Extracranial,,,,,,,
1.2.826.0.1.3680043.8.498.10484809454170799749997508580496517686.nii.gz,0.8290889,207.4448,267.17422,348.88373,36.0788,22.885748,19.757172,1.0,,,Vein of galen,,,,,,,
1.2.826.0.1.3680043.8.498.10539805583894240854689522085529279066.nii.gz,0.8757777,199.18947,368.30396,292.61493,11.706995,15.820648,14.018937,1.0,,,Choroid plexus ,,,,,,,
1.2.826.0.1.3680043.8.498.10579235299209582351584770609917611683.nii.gz,0.94647354,189.91362,277.38162,179.22043,8.250724,9.999169,11.730458,,,1.0,"Right ACA aneurysm, A2 segment",,,,,,,
1.2.826.0.1.3680043.8.498.10624923817867514790723147290420763190.nii.gz,0.8236033,147.93369,279.9994,358.34827,10.323451,13.022423,13.306906,1.0,,,Part of the choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.10633029764731181926825032640422192656.nii.gz,0.9204464,134.7454,399.97998,393.5647,9.445916,10.589276,12.942766,,,1.0,"Left ICA PCOMM aneurysm, bounding box is better than GT",FIX,,,,,,
1.2.826.0.1.3680043.8.498.10633029764731181926825032640422192656.nii.gz,0.8087527,28.97297,358.82776,515.4244,10.6923685,9.939501,9.50987,,,,"External carotid artery, extracranial ICA aneurysm or a venous varix",Should we include? Ask,,,,,,
1.2.826.0.1.3680043.8.498.10651378641908724856730013035772912257.nii.gz,0.89879465,126.0,365.0,276.0,5.668883,7.0441976,7.4401145,,,1.0,Right ICA PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.10651378641908724856730013035772912257.nii.gz,0.8721527,164.94899,238.20828,315.13947,14.874775,30.550102,25.950153,1.0,,,"Great vein of galen, it often has a narrow area close to the strait(?). Sinus. This is a normal appareance.",,,,,,,
1.2.826.0.1.3680043.8.498.10651378641908724856730013035772912257.nii.gz,0.80061156,137.0,368.0,332.0,6.3076434,6.470163,8.848951,,,1.0,Left ICA PCOMM aneurysm ,,,,,,,
1.2.826.0.1.3680043.8.498.10671136069814118273051305504191839864.nii.gz,0.82950205,132.79141,309.74835,314.10898,16.981813,14.112393,15.666921,1.0,,,Post-stenotic dilatation of the ICA.,,,,,,,
1.2.826.0.1.3680043.8.498.10676171200316720058659073183033256880.nii.gz,0.8029344,210.90395,238.15784,308.5504,18.2089,27.433266,24.814173,1.0,,,Great vein of galen ,,,,,,,
1.2.826.0.1.3680043.8.498.10702390433258656600609672523581904940.nii.gz,0.93860376,93.53224,238.63611,299.09018,8.71915,7.2689986,7.9523106,1.0,,,Right PICA aneurysm,REVIEW. Could be a vein,,,,,,
1.2.826.0.1.3680043.8.498.10702390433258656600609672523581904940.nii.gz,0.89727426,189.10054,210.51736,376.60724,12.5824175,9.321963,10.080683,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.10709122041211146675577757495858945293.nii.gz,0.8275347,186.79143,176.56775,244.74919,23.406687,23.412508,17.184633,1.0,,,Vein of galen,,,,,,,
1.2.826.0.1.3680043.8.498.10727853418861725722856023680560832338.nii.gz,0.82267773,164.07272,275.25983,258.94833,7.9348364,8.802355,13.620472,,,1.0,"4 mm basilar tip aneurysm, close to the basilar tip",,,,,,,
1.2.826.0.1.3680043.8.498.10734061825977744660754214019812994234.nii.gz,0.8364087,110.0,288.0,314.0,7.534577,8.541894,10.047709,,,1.0,"Left M1 segment, MCA superiourly projecting aneurysm",Embolized aneu in slice 111 axial,,,,,,
1.2.826.0.1.3680043.8.498.10741003413710963401991893975229062844.nii.gz,0.8848565,177.41296,280.68396,404.6627,20.0,28.140593,19.865427,1.0,,,Could be a venous varyx or an unusual tentorial sinus arising from the tortular,,,,,,,
1.2.826.0.1.3680043.8.498.10743681379266627714143743478938138250.nii.gz,0.811146,223.7309,223.9634,342.35522,34.884872,23.24155,22.504978,1.0,,,Vein of galen,,,,,,,
1.2.826.0.1.3680043.8.498.10836696159962346198965554506289936039.nii.gz,0.83730024,169.83142,213.09203,252.66647,35.15327,29.05508,29.91508,1.0,,,Calcification of the choroid plexus,7 30 - 11 20,,,,,,
1.2.826.0.1.3680043.8.498.10840427012331499269134833386069578419.nii.gz,0.9483793,140.9119,260.7447,257.7209,12.23577,13.246321,11.7993965,,,1.0,"Aneurysm in the left ICA PCOMM origin aneurysm. The GT is worse than the FP, even then, FP should be bigger and centered on 143, 260, 257, and should be larger",REVIEW,12.23577,13.246321,14.0,143.0,257.0,260.0
