SeriesInstanceUID,SOPInstanceUID,RescaleSlope,RescaleIntercept,MinVal,MaxVal,TopLeft
1.2.826.0.1.3680043.8.498.79517544823335885143940329810114590698,1.2.826.0.1.3680043.8.498.28127925396356394765715120186833270511,1.0,-1024.0,-1018,1646,-1005
1.2.826.0.1.3680043.8.498.11422928060228360802778018026859204182,1.2.826.0.1.3680043.8.498.11041052764470714839656984521708123617,1.0,-1024.0,-1018,1532,-1001
1.2.826.0.1.3680043.8.498.78287908345612061741287911361921168215,1.2.826.0.1.3680043.8.498.97132319935097826484622929442046522822,1.0,-1024.0,-1020,1845,-999
1.2.826.0.1.3680043.8.498.49308451203096270874265898615922688417,1.2.826.0.1.3680043.8.498.60941235351834406211537074664179572570,1.0,-1024.0,-1021,1567,-996
1.2.826.0.1.3680043.8.498.78287908345612061741287911361921168215,1.2.826.0.1.3680043.8.498.11876802215467248102149999954295882622,1.0,-1024.0,-1022,1849,-1006
1.2.826.0.1.3680043.8.498.42283717699474835368300358810420653353,1.2.826.0.1.3680043.8.498.99157764952874849439328680197684853137,1.0,-1024.0,-1022,1841,-1000
1.2.826.0.1.3680043.8.498.72601914673673966535016888607394980410,1.2.826.0.1.3680043.8.498.10193513634893075454576914083320950877,1.0,-1024.0,-1023,1664,-986
1.2.826.0.1.3680043.8.498.14796539268266628815319821240293937067,1.2.826.0.1.3680043.8.498.50545868126782079293586659142504840332,1.0,-1024.0,-1023,1860,-986
1.2.826.0.1.3680043.8.498.88032468388060085709810101562499167112,1.2.826.0.1.3680043.8.498.49734243446236007262272283016902863339,1.0,-1024.0,-1023,1529,-1012
1.2.826.0.1.3680043.8.498.39467198872118696167396371980096058294,1.2.826.0.1.3680043.8.498.11382979149057163668559122603594619294,1.0,0.0,-1023,3258,-951
1.2.826.0.1.3680043.8.498.87860442821701510723475979410604634591,1.2.826.0.1.3680043.8.498.12966823920923420702587548178803411125,1.0,-1024.0,-1023,1535,-1000
1.2.826.0.1.3680043.8.498.10221223003274066645389576091413528073,1.2.826.0.1.3680043.8.498.95846949094783962488054911007381204914,1.0,-1024.0,-1023,2268,-997
1.2.826.0.1.3680043.8.498.65715495724248535964038736565807847916,1.2.826.0.1.3680043.8.498.87277482836832527617826792186210033996,1.0,-1024.0,-1023,1543,-1008
1.2.826.0.1.3680043.8.498.49095208584286216617750646728842881486,1.2.826.0.1.3680043.8.498.71392837231404945569024923817596711199,1.0,0.0,-1024,513,-1024
1.2.826.0.1.3680043.8.498.49121102538534209383575208651267910076,1.2.826.0.1.3680043.8.498.73546280590718885947829929691752642926,1.0,-1024.0,-1024,2406,-993
1.2.826.0.1.3680043.8.498.49308451203096270874265898615922688417,1.2.826.0.1.3680043.8.498.10835077087298827998309050461813602835,1.0,-1024.0,-1024,1558,-1001
