model,dataset,checkpoint,Se@0.1,Se@0.5,Se@2
cmha,aug_cnn_4l_short,final,0.52,0.79,0.84
cmha,aug_cnn_4l_short_input_edt,final,0.69,0.88,0.92
cmha,aug_cnn_4l_short_input_edt_vein,final,0.69,0.85,0.91
cmha,aug_cnn_4l_short_input_edt_fp_fix,final,0.71,0.92,0.94
cmha,aug_cnn_4l_short_input_edt_fp_strict_fix,final,0.58,0.93,0.95
cmha,zaug_cnn_4l_short_input_edt,final,0.64,0.83,0.89
cmha,zaug_cnn_4l_short_input_edt_vein,final,0.69,0.87,0.92
cmha,yaug_cnn_4l_short_input_edt,final,0.6,0.86,0.9
cmha,xaug_cnn_4l_short_input_edt,final,0.6,0.81,0.87
hospital140,aug_cnn_4l_short,final,0.396,0.59,0.75
hospital140,aug_cnn_4l_short_input_edt,final,0.608,0.755,0.858
hospital140,aug_cnn_4l_short_input_edt_vein,final,0.59,0.75,0.821
hospital140,aug_cnn_4l_short_input_edt_fp_fix,final,0.623,0.783,0.873
hospital140,aug_cnn_4l_short_input_edt_fp_strict_fix,final,0.67,0.792,0.849
hospital140,zaug_cnn_4l_short_input_edt,final,0.542,0.726,0.84
hospital140,zaug_cnn_4l_short_input_edt_vein,final,0.594,0.712,0.825
hospital140,yaug_cnn_4l_short_input_edt,final,0.613,0.689,0.807
hospital140,xaug_cnn_4l_short_input_edt,final,0.505,0.698,0.792
internal_test,aug_cnn_4l_short,final,0.722,0.905,0.944
internal_test,aug_cnn_4l_short_input_edt,final,0.857,0.913,0.952
internal_test,aug_cnn_4l_short_input_edt_vein,final,0.873,0.937,0.952
internal_test,aug_cnn_4l_short_input_edt_fp_fix,final,0.833,0.937,0.952
internal_test,aug_cnn_4l_short_input_edt_fp_strict_fix,final,0.825,0.937,0.968
internal_test,zaug_cnn_4l_short_input_edt,final,0.865,0.937,0.952
internal_test,zaug_cnn_4l_short_input_edt_vein,final,0.889,0.944,0.968
internal_test,yaug_cnn_4l_short_input_edt,final,0.825,0.897,0.937
internal_test,xaug_cnn_4l_short_input_edt,final,0.833,0.913,0.952
